active,base,futures,quote,spot,swap,symbol,type
True,BLUM,False,USDT,True,False,BLUM/USDT,spot
True,EDWIN,False,USDT,True,False,EDWIN/USDT,spot
True,RIZO,False,USDT,True,False,RIZO/USDT,spot
False,LINEA,False,USDC,True,False,LINEA/USDC,spot
True,LTC,False,USDC,True,False,LTC/USDC,spot
True,FASTER,False,USDT,True,False,FASTER/USDT,spot
False,BDXN,False,USDC,True,False,BDXN/USDC,spot
False,BANANAS31,False,USDC,True,False,BANANAS31/USDC,spot
True,ENA,False,USDC,True,False,ENA/USDC,spot
True,MON,False,USDT,True,False,MON/USDT,spot
True,ZKJ,False,USDT,True,False,ZKJ/USDT,spot
False,HIMSON,False,USDT,True,False,HIMSON/USDT,spot
True,IAUON,False,USDT,True,False,IAUON/USDT,spot
True,ELIZAOS,False,USDT,True,False,ELIZAOS/USDT,spot
True,SEEK,False,USDT,True,False,SEEK/USDT,spot
True,HAROLD,False,USDT,True,False,HAROLD/USDT,spot
False,PI,False,USD1,True,False,PI/USD1,spot
False,LTT,False,USDT,True,False,LTT/USDT,spot
True,SXT,False,USDT,True,False,SXT/USDT,spot
True,JUP,False,USDT,True,False,JUP/USDT,spot
True,MITO,False,USDT,True,False,MITO/USDT,spot
True,SOEX,False,USDT,True,False,SOEX/USDT,spot
True,SVSA,False,USDT,True,False,SVSA/USDT,spot
True,MERL,False,USDT,True,False,MERL/USDT,spot
True,TROLLSOL,False,USDT,True,False,TROLLSOL/USDT,spot
False,US,False,USDT,True,False,US/USDT,spot
True,UNITE,False,USDT,True,False,UNITE/USDT,spot
False,XRP,False,ETH,True,False,XRP/ETH,spot
True,PYTHIA,False,USDT,True,False,PYTHIA/USDT,spot
True,PKR,False,USDT,True,False,PKR/USDT,spot
True,TROLL,False,USDT,True,False,TROLL/USDT,spot
True,SYS,False,USDT,True,False,SYS/USDT,spot
True,TEVA,False,USDT,True,False,TEVA/USDT,spot
True,LEE,False,USDT,True,False,LEE/USDT,spot
True,COINON,False,USDT,True,False,COINON/USDT,spot
False,KERNEL,False,USDC,True,False,KERNEL/USDC,spot
True,AVAX,False,USDT,True,False,AVAX/USDT,spot
True,KITEAI,False,USDT,True,False,KITEAI/USDT,spot
False,TJRM,False,USDT,True,False,TJRM/USDT,spot
True,XWGT,False,USDT,True,False,XWGT/USDT,spot
True,CAW,False,USDC,True,False,CAW/USDC,spot
True,CELR,False,USDT,True,False,CELR/USDT,spot
False,ENA,False,USDE,True,False,ENA/USDE,spot
False,VINE,False,BRL,True,False,VINE/BRL,spot
True,CLASH,False,USDT,True,False,CLASH/USDT,spot
True,JESSE,False,USDT,True,False,JESSE/USDT,spot
True,SUI,False,USDT,True,False,SUI/USDT,spot
True,PTC,False,USDT,True,False,PTC/USDT,spot
True,ONI,False,USDT,True,False,ONI/USDT,spot
True,NEXO,False,USDT,True,False,NEXO/USDT,spot
False,AIOT,False,USDC,True,False,AIOT/USDC,spot
True,PUSS,False,USDT,True,False,PUSS/USDT,spot
True,TIX,False,USDT,True,False,TIX/USDT,spot
True,SAPIEN,False,USDT,True,False,SAPIEN/USDT,spot
False,PHYCHAIN,False,USDT,True,False,PHYCHAIN/USDT,spot
True,FDUSD,False,USDT,True,False,FDUSD/USDT,spot
True,EAI,False,USDT,True,False,EAI/USDT,spot
True,TAO,False,USDT,True,False,TAO/USDT,spot
True,OMG,False,USDT,True,False,OMG/USDT,spot
True,ERG,False,USDT,True,False,ERG/USDT,spot
True,PHNIX,False,USDT,True,False,PHNIX/USDT,spot
False,NEI,False,USDT,True,False,NEI/USDT,spot
True,HTM,False,USDT,True,False,HTM/USDT,spot
True,SNSY,False,USDT,True,False,SNSY/USDT,spot
True,TAO,False,USDC,True,False,TAO/USDC,spot
False,DOOD,False,USDC,True,False,DOOD/USDC,spot
True,MAV,False,USDT,True,False,MAV/USDT,spot
False,GGC,False,USDT,True,False,GGC/USDT,spot
True,EPIC,False,USDT,True,False,EPIC/USDT,spot
True,STREAM,False,USDT,True,False,STREAM/USDT,spot
True,恶俗企鹅,False,USDT,True,False,恶俗企鹅/USDT,spot
False,LUCK,False,USDT,True,False,LUCK/USDT,spot
True,USDR,False,USDT,True,False,USDR/USDT,spot
True,MYX,False,USDT,True,False,MYX/USDT,spot
True,BERA,False,USDT,True,False,BERA/USDT,spot
True,FIL,False,USDC,True,False,FIL/USDC,spot
True,NODE,False,USDT,True,False,NODE/USDT,spot
True,SEI,False,USDT,True,False,SEI/USDT,spot
False,SWAP,False,USDT,True,False,SWAP/USDT,spot
True,DVO,False,USDT,True,False,DVO/USDT,spot
True,TRIO,False,USDT,True,False,TRIO/USDT,spot
True,NEXA,False,USDT,True,False,NEXA/USDT,spot
True,MBG,False,USDT,True,False,MBG/USDT,spot
True,GAINS,False,USDT,True,False,GAINS/USDT,spot
True,TTN,False,USDT,True,False,TTN/USDT,spot
True,PLTX,False,USDT,True,False,PLTX/USDT,spot
True,WBTC,False,USDT,True,False,WBTC/USDT,spot
True,AURA,False,USDT,True,False,AURA/USDT,spot
True,WET,False,USDT,True,False,WET/USDT,spot
True,SN51,False,USDT,True,False,SN51/USDT,spot
True,BXX,False,USDT,True,False,BXX/USDT,spot
True,SAHARA,False,USDT,True,False,SAHARA/USDT,spot
True,HEI,False,USDT,True,False,HEI/USDT,spot
True,MANA,False,USDT,True,False,MANA/USDT,spot
True,USD1,False,USDT,True,False,USD1/USDT,spot
True,AAPLX,False,USDT,True,False,AAPLX/USDT,spot
False,BTC,False,EUR,True,False,BTC/EUR,spot
True,LUNCH,False,USDT,True,False,LUNCH/USDT,spot
False,POL,False,USDC,True,False,POL/USDC,spot
True,CHRP,False,USDT,True,False,CHRP/USDT,spot
True,COREUM,False,USDT,True,False,COREUM/USDT,spot
True,OOE,False,USDT,True,False,OOE/USDT,spot
False,SUI,False,EUR,True,False,SUI/EUR,spot
True,ALGO,False,USDT,True,False,ALGO/USDT,spot
True,GSWIFT,False,USDT,True,False,GSWIFT/USDT,spot
