base,quote,status,symbol,trading_disabled,type
AVNT,USDC,online,AVNT-USDC,False,SPOT
IRYS,USD,online,IRYS-USD,False,SPOT
IRYS,USDC,online,IRYS-USDC,False,SPOT
SHIB,USD,online,SHIB-USD,False,SPOT
SHIB,USDC,online,SHIB-USDC,False,SPOT
HBAR,USDT,online,HBAR-USDT,False,SPOT
CRO,USD,online,CRO-USD,False,SPOT
CRO,USDC,online,CRO-USDC,False,SPOT
ADA,EUR,online,ADA-EUR,False,SPOT
RLS,USD,online,RLS-USD,False,SPOT
RLS,USDC,online,RLS-USDC,False,SPOT
ATOM,GBP,online,ATOM-GBP,False,SPOT
XCN,USD,online,XCN-USD,False,SPOT
XCN,USDC,online,XCN-USDC,False,SPOT
TOSHI,USD,online,TOSHI-USD,False,SPOT
TOSHI,USDC,online,TOSHI-USDC,False,SPOT
ATOM,USD,online,ATOM-USD,False,SPOT
ATOM,USDC,online,ATOM-USDC,False,SPOT
FIL,USD,online,FIL-USD,False,SPOT
FIL,USDC,online,FIL-USDC,False,SPOT
STX,USD,online,STX-USD,False,SPOT
STX,USDC,online,STX-USDC,False,SPOT
JASMY,USD,online,JASMY-USD,False,SPOT
JASMY,USDC,online,JASMY-USDC,False,SPOT
ALLO,USD,online,ALLO-USD,False,SPOT
ALLO,USDC,online,ALLO-USDC,False,SPOT
VET,USD,online,VET-USD,False,SPOT
VET,USDC,online,VET-USDC,False,SPOT
USDT,GBP,online,USDT-GBP,False,SPOT
POPCAT,USD,online,POPCAT-USD,False,SPOT
POPCAT,USDC,online,POPCAT-USDC,False,SPOT
MANTLE,USD,online,MANTLE-USD,False,SPOT
MANTLE,USDC,online,MANTLE-USDC,False,SPOT
ATOM,EUR,online,ATOM-EUR,False,SPOT
QNT,USD,online,QNT-USD,False,SPOT
QNT,USDC,online,QNT-USDC,False,SPOT
IMX,USD,online,IMX-USD,False,SPOT
IMX,USDC,online,IMX-USDC,False,SPOT
RENDER,USD,online,RENDER-USD,False,SPOT
RENDER,USDC,online,RENDER-USDC,False,SPOT
BNB,USD,online,BNB-USD,False,SPOT
BNB,USDC,online,BNB-USDC,False,SPOT
SOL,GBP,online,SOL-GBP,False,SPOT
FLR,USD,online,FLR-USD,False,SPOT
FLR,USDC,online,FLR-USDC,False,SPOT
SAPIEN,USD,online,SAPIEN-USD,False,SPOT
SAPIEN,USDC,online,SAPIEN-USDC,False,SPOT
LRDS,USD,online,LRDS-USD,False,SPOT
LRDS,USDC,online,LRDS-USDC,False,SPOT
BAT,USD,online,BAT-USD,False,SPOT
BAT,USDC,online,BAT-USDC,False,SPOT
MET,USD,online,MET-USD,False,SPOT
MET,USDC,online,MET-USDC,False,SPOT
SHIB,GBP,online,SHIB-GBP,False,SPOT
PENDLE,USD,online,PENDLE-USD,False,SPOT
PENDLE,USDC,online,PENDLE-USDC,False,SPOT
AVAX,EUR,online,AVAX-EUR,False,SPOT
AXL,USD,online,AXL-USD,False,SPOT
AXL,USDC,online,AXL-USDC,False,SPOT
POL,USD,online,POL-USD,False,SPOT
POL,USDC,online,POL-USDC,False,SPOT
LTC,EUR,online,LTC-EUR,False,SPOT
ZRO,USD,online,ZRO-USD,False,SPOT
ZRO,USDC,online,ZRO-USDC,False,SPOT
ALGO,USD,online,ALGO-USD,False,SPOT
ALGO,USDC,online,ALGO-USDC,False,SPOT
CBETH,USD,online,CBETH-USD,False,SPOT
CBETH,USDC,online,CBETH-USDC,False,SPOT
LINK,EUR,online,LINK-EUR,False,SPOT
VOXEL,USD,online,VOXEL-USD,False,SPOT
VOXEL,USDC,online,VOXEL-USDC,False,SPOT
TROLL,USD,online,TROLL-USD,False,SPOT
TROLL,USDC,online,TROLL-USDC,False,SPOT
XPL,USD,online,XPL-USD,False,SPOT
XPL,USDC,online,XPL-USDC,False,SPOT
TURBO,USD,online,TURBO-USD,False,SPOT
TURBO,USDC,online,TURBO-USDC,False,SPOT
PERP,USD,online,PERP-USD,False,SPOT
PERP,USDC,online,PERP-USDC,False,SPOT
DOGE,EUR,online,DOGE-EUR,False,SPOT
TNSR,USD,online,TNSR-USD,False,SPOT
TNSR,USDC,online,TNSR-USDC,False,SPOT
LDO,USD,online,LDO-USD,False,SPOT
LDO,USDC,online,LDO-USDC,False,SPOT
PIRATE,USD,online,PIRATE-USD,False,SPOT
PIRATE,USDC,online,PIRATE-USDC,False,SPOT
AIOZ,USD,online,AIOZ-USD,False,SPOT
AIOZ,USDC,online,AIOZ-USDC,False,SPOT
SYRUP,USD,online,SYRUP-USD,False,SPOT
SYRUP,USDC,online,SYRUP-USDC,False,SPOT
ZK,USD,online,ZK-USD,False,SPOT
ZK,USDC,online,ZK-USDC,False,SPOT
HNT,USD,online,HNT-USD,False,SPOT
HNT,USDC,online,HNT-USDC,False,SPOT
ETC,USD,online,ETC-USD,False,SPOT
ETC,USDC,online,ETC-USDC,False,SPOT
MORPHO,USD,online,MORPHO-USD,False,SPOT
MORPHO,USDC,online,MORPHO-USDC,False,SPOT
MOG,USD,online,MOG-USD,False,SPOT
MOG,USDC,online,MOG-USDC,False,SPOT
ADA,GBP,online,ADA-GBP,False,SPOT
XYO,USD,online,XYO-USD,False,SPOT
XYO,USDC,online,XYO-USDC,False,SPOT
XAN,USD,online,XAN-USD,False,SPOT
XAN,USDC,online,XAN-USDC,False,SPOT
ALEO,USD,online,ALEO-USD,False,SPOT
ALEO,USDC,online,ALEO-USDC,False,SPOT
OP,USD,online,OP-USD,False,SPOT
OP,USDC,online,OP-USDC,False,SPOT
SUP,USD,online,SUP-USD,False,SPOT
SUP,USDC,online,SUP-USDC,False,SPOT
SKY,USD,online,SKY-USD,False,SPOT
SKY,USDC,online,SKY-USDC,False,SPOT
FLOKI,USD,online,FLOKI-USD,False,SPOT
FLOKI,USDC,online,FLOKI-USDC,False,SPOT
UNI,GBP,online,UNI-GBP,False,SPOT
KTA,USD,online,KTA-USD,False,SPOT
KTA,USDC,online,KTA-USDC,False,SPOT
TRB,USD,online,TRB-USD,False,SPOT
TRB,USDC,online,TRB-USDC,False,SPOT
DEGEN,USD,online,DEGEN-USD,False,SPOT
DEGEN,USDC,online,DEGEN-USDC,False,SPOT
JTO,USD,online,JTO-USD,False,SPOT
JTO,USDC,online,JTO-USDC,False,SPOT
RECALL,USD,online,RECALL-USD,False,SPOT
RECALL,USDC,online,RECALL-USDC,False,SPOT
1INCH,USD,online,1INCH-USD,False,SPOT
1INCH,USDC,online,1INCH-USDC,False,SPOT
BERA,USD,online,BERA-USD,False,SPOT
BERA,USDC,online,BERA-USDC,False,SPOT
ADA,USDT,online,ADA-USDT,False,SPOT
APE,USD,online,APE-USD,False,SPOT
APE,USDC,online,APE-USDC,False,SPOT
XRP,USDT,online,XRP-USDT,False,SPOT
SXT,USD,online,SXT-USD,False,SPOT
SXT,USDC,online,SXT-USDC,False,SPOT
CLANKER,USD,online,CLANKER-USD,False,SPOT
CLANKER,USDC,online,CLANKER-USDC,False,SPOT
PNUT,USD,online,PNUT-USD,False,SPOT
PNUT,USDC,online,PNUT-USDC,False,SPOT
DIA,USD,online,DIA-USD,False,SPOT
DIA,USDC,online,DIA-USDC,False,SPOT
EIGEN,USD,online,EIGEN-USD,False,SPOT
EIGEN,USDC,online,EIGEN-USDC,False,SPOT
AAVE,GBP,online,AAVE-GBP,False,SPOT
CVX,USD,online,CVX-USD,False,SPOT
CVX,USDC,online,CVX-USDC,False,SPOT
CHZ,EUR,online,CHZ-EUR,False,SPOT
SWFTC,USD,online,SWFTC-USD,False,SPOT
SWFTC,USDC,online,SWFTC-USDC,False,SPOT
AVAX,USDT,online,AVAX-USDT,False,SPOT
APR,USD,online,APR-USD,False,SPOT
APR,USDC,online,APR-USDC,False,SPOT
SKL,USD,online,SKL-USD,False,SPOT
SKL,USDC,online,SKL-USDC,False,SPOT
ASM,USD,online,ASM-USD,False,SPOT
ASM,USDC,online,ASM-USDC,False,SPOT
FIS,USD,online,FIS-USD,False,SPOT
FIS,USDC,online,FIS-USDC,False,SPOT
MDT,USD,online,MDT-USD,False,SPOT
MDT,USDC,online,MDT-USDC,False,SPOT
COMP,USD,online,COMP-USD,False,SPOT
COMP,USDC,online,COMP-USDC,False,SPOT
PROMPT,USD,online,PROMPT-USD,False,SPOT
PROMPT,USDC,online,PROMPT-USDC,False,SPOT
NKN,USD,online,NKN-USD,False,SPOT
NKN,USDC,online,NKN-USDC,False,SPOT
PYTH,USD,online,PYTH-USD,False,SPOT
PYTH,USDC,online,PYTH-USDC,False,SPOT
DOGE,USDT,online,DOGE-USDT,False,SPOT
GIGA,USD,online,GIGA-USD,False,SPOT
GIGA,USDC,online,GIGA-USDC,False,SPOT
ETHFI,USD,online,ETHFI-USD,False,SPOT
