base,quote,status,symbol,trading_disabled,type
NEWT,USDC,online,NEWT-USDC,False,SPOT
EUL,USD,online,EUL-USD,False,SPOT
EUL,USDC,online,EUL-USDC,False,SPOT
ABT,USD,online,ABT-USD,False,SPOT
ABT,USDC,online,ABT-USDC,False,SPOT
KAVA,USD,online,KAVA-USD,False,SPOT
KAVA,USDC,online,KAVA-USDC,False,SPOT
DIMO,USD,online,DIMO-USD,False,SPOT
DIMO,USDC,online,DIMO-USDC,False,SPOT
T,USD,online,T-USD,False,SPOT
T,USDC,online,T-USDC,False,SPOT
NEON,USD,online,NEON-USD,False,SPOT
NEON,USDC,online,NEON-USDC,False,SPOT
CRV,EUR,online,CRV-EUR,False,SPOT
UNI,EUR,online,UNI-EUR,False,SPOT
ICP,USDT,online,ICP-USDT,False,SPOT
VTHO,USD,online,VTHO-USD,False,SPOT
VTHO,USDC,online,VTHO-USDC,False,SPOT
1INCH,GBP,online,1INCH-GBP,False,SPOT
XSGD,USDC,online,XSGD-USDC,False,SPOT
GLM,USD,online,GLM-USD,False,SPOT
GLM,USDC,online,GLM-USDC,False,SPOT
FOX,USD,online,FOX-USD,False,SPOT
FOX,USDC,online,FOX-USDC,False,SPOT
ERA,USD,online,ERA-USD,False,SPOT
ERA,USDC,online,ERA-USDC,False,SPOT
DOGINME,USD,online,DOGINME-USD,False,SPOT
DOGINME,USDC,online,DOGINME-USDC,False,SPOT
ALCX,USD,online,ALCX-USD,False,SPOT
ALCX,USDC,online,ALCX-USDC,False,SPOT
OMNI,USD,online,OMNI-USD,False,SPOT
OMNI,USDC,online,OMNI-USDC,False,SPOT
BAND,USD,online,BAND-USD,False,SPOT
BAND,USDC,online,BAND-USDC,False,SPOT
INDEX,USD,online,INDEX-USD,False,SPOT
INDEX,USDC,online,INDEX-USDC,False,SPOT
HIGH,USD,online,HIGH-USD,False,SPOT
HIGH,USDC,online,HIGH-USDC,False,SPOT
DRIFT,USD,online,DRIFT-USD,False,SPOT
DRIFT,USDC,online,DRIFT-USDC,False,SPOT
USD1,USD,online,USD1-USD,False,SPOT
USD1,USDC,online,USD1-USDC,False,SPOT
CRO,EUR,online,CRO-EUR,False,SPOT
CGLD,USD,online,CGLD-USD,False,SPOT
CGLD,USDC,online,CGLD-USDC,False,SPOT
ICP,GBP,online,ICP-GBP,False,SPOT
L3,USD,online,L3-USD,False,SPOT
L3,USDC,online,L3-USDC,False,SPOT
ACX,USD,online,ACX-USD,False,SPOT
ACX,USDC,online,ACX-USDC,False,SPOT
EOS,USD,online,EOS-USD,False,SPOT
EOS,USDC,online,EOS-USDC,False,SPOT
SNX,EUR,online,SNX-EUR,False,SPOT
AURORA,USD,online,AURORA-USD,False,SPOT
AURORA,USDC,online,AURORA-USDC,False,SPOT
FORT,USD,online,FORT-USD,False,SPOT
FORT,USDC,online,FORT-USDC,False,SPOT
SAFE,USD,online,SAFE-USD,False,SPOT
SAFE,USDC,online,SAFE-USDC,False,SPOT
VARA,USD,online,VARA-USD,False,SPOT
VARA,USDC,online,VARA-USDC,False,SPOT
ACS,USD,online,ACS-USD,False,SPOT
ACS,USDC,online,ACS-USDC,False,SPOT
WMTX,USD,online,WMTX-USD,False,SPOT
WMTX,USDC,online,WMTX-USDC,False,SPOT
ALEPH,USD,online,ALEPH-USD,False,SPOT
ALEPH,USDC,online,ALEPH-USDC,False,SPOT
KMNO,USD,online,KMNO-USD,False,SPOT
KMNO,USDC,online,KMNO-USDC,False,SPOT
GNO,USD,online,GNO-USD,False,SPOT
GNO,USDC,online,GNO-USDC,False,SPOT
LA,USD,online,LA-USD,False,SPOT
LA,USDC,online,LA-USDC,False,SPOT
LOKA,USD,online,LOKA-USD,False,SPOT
LOKA,USDC,online,LOKA-USDC,False,SPOT
OCEAN,USD,online,OCEAN-USD,False,SPOT
OCEAN,USDC,online,OCEAN-USDC,False,SPOT
SPA,USD,online,SPA-USD,False,SPOT
SPA,USDC,online,SPA-USDC,False,SPOT
KRL,USD,online,KRL-USD,False,SPOT
KRL,USDC,online,KRL-USDC,False,SPOT
FLOW,USD,online,FLOW-USD,False,SPOT
FLOW,USDC,online,FLOW-USDC,False,SPOT
DOT,GBP,online,DOT-GBP,False,SPOT
SPELL,USD,online,SPELL-USD,False,SPOT
SPELL,USDC,online,SPELL-USDC,False,SPOT
XLM,USDT,online,XLM-USDT,False,SPOT
SYND,USD,online,SYND-USD,False,SPOT
SYND,USDC,online,SYND-USDC,False,SPOT
IOTX,USD,online,IOTX-USD,False,SPOT
IOTX,USDC,online,IOTX-USDC,False,SPOT
AVT,USD,online,AVT-USD,False,SPOT
AVT,USDC,online,AVT-USDC,False,SPOT
FORTH,USD,online,FORTH-USD,False,SPOT
FORTH,USDC,online,FORTH-USDC,False,SPOT
RONIN,USD,online,RONIN-USD,False,SPOT
RONIN,USDC,online,RONIN-USDC,False,SPOT
CFG,USD,online,CFG-USD,False,SPOT
CFG,USDC,online,CFG-USDC,False,SPOT
NCT,USD,online,NCT-USD,False,SPOT
NCT,USDC,online,NCT-USDC,False,SPOT
KERNEL,USD,online,KERNEL-USD,False,SPOT
KERNEL,USDC,online,KERNEL-USDC,False,SPOT
CTX,USD,online,CTX-USD,False,SPOT
CTX,USDC,online,CTX-USDC,False,SPOT
ME,USD,online,ME-USD,False,SPOT
ME,USDC,online,ME-USDC,False,SPOT
KNC,USD,online,KNC-USD,False,SPOT
KNC,USDC,online,KNC-USDC,False,SPOT
FLUID,USD,online,FLUID-USD,False,SPOT
FLUID,USDC,online,FLUID-USDC,False,SPOT
UMA,USD,online,UMA-USD,False,SPOT
UMA,USDC,online,UMA-USDC,False,SPOT
MPLX,USD,online,MPLX-USD,False,SPOT
MPLX,USDC,online,MPLX-USDC,False,SPOT
ELA,USD,online,ELA-USD,False,SPOT
ELA,USDC,online,ELA-USDC,False,SPOT
BTRST,USD,online,BTRST-USD,False,SPOT
BTRST,USDC,online,BTRST-USDC,False,SPOT
MASK,USD,online,MASK-USD,False,SPOT
MASK,USDC,online,MASK-USDC,False,SPOT
VELO,USD,online,VELO-USD,False,SPOT
VELO,USDC,online,VELO-USDC,False,SPOT
CELR,USD,online,CELR-USD,False,SPOT
CELR,USDC,online,CELR-USDC,False,SPOT
WET,USD,online,WET-USD,False,SPOT
WET,USDC,online,WET-USDC,False,SPOT
ALICE,USD,online,ALICE-USD,False,SPOT
ALICE,USDC,online,ALICE-USDC,False,SPOT
PYR,USD,online,PYR-USD,False,SPOT
PYR,USDC,online,PYR-USDC,False,SPOT
BCH,GBP,online,BCH-GBP,False,SPOT
WCT,USD,online,WCT-USD,False,SPOT
WCT,USDC,online,WCT-USDC,False,SPOT
ARPA,USD,online,ARPA-USD,False,SPOT
ARPA,USDC,online,ARPA-USDC,False,SPOT
APT,USDT,online,APT-USDT,False,SPOT
SHPING,USD,online,SHPING-USD,False,SPOT
SHPING,USDC,online,SHPING-USDC,False,SPOT
CORECHAIN,USD,online,CORECHAIN-USD,False,SPOT
CORECHAIN,USDC,online,CORECHAIN-USDC,False,SPOT
CLV,USD,online,CLV-USD,False,SPOT
CLV,USDC,online,CLV-USDC,False,SPOT
JASMY,USDT,online,JASMY-USDT,False,SPOT
GHST,USD,online,GHST-USD,False,SPOT
GHST,USDC,online,GHST-USDC,False,SPOT
1INCH,EUR,online,1INCH-EUR,False,SPOT
HOPR,USD,online,HOPR-USD,False,SPOT
HOPR,USDC,online,HOPR-USDC,False,SPOT
OP,USDT,online,OP-USDT,False,SPOT
STORJ,USD,online,STORJ-USD,False,SPOT
STORJ,USDC,online,STORJ-USDC,False,SPOT
BLAST,USD,online,BLAST-USD,False,SPOT
BLAST,USDC,online,BLAST-USDC,False,SPOT
AXS,EUR,online,AXS-EUR,False,SPOT
RSC,USD,online,RSC-USD,False,SPOT
RSC,USDC,online,RSC-USDC,False,SPOT
ALT,USD,online,ALT-USD,False,SPOT
ALT,USDC,online,ALT-USDC,False,SPOT
SHDW,USD,online,SHDW-USD,False,SPOT
SHDW,USDC,online,SHDW-USDC,False,SPOT
PUNDIX,USD,online,PUNDIX-USD,False,SPOT
PUNDIX,USDC,online,PUNDIX-USDC,False,SPOT
STX,USDT,online,STX-USDT,False,SPOT
NOM,USD,online,NOM-USD,False,SPOT
NOM,USDC,online,NOM-USDC,False,SPOT
SHIB,USDT,online,SHIB-USDT,False,SPOT
RLC,USD,online,RLC-USD,False,SPOT
RLC,USDC,online,RLC-USDC,False,SPOT
BICO,USD,online,BICO-USD,False,SPOT
BICO,USDC,online,BICO-USDC,False,SPOT
AST,USD,online,AST-USD,False,SPOT
AST,USDC,online,AST-USDC,False,SPOT
GRT,EUR,online,GRT-EUR,False,SPOT
C98,USD,online,C98-USD,False,SPOT
C98,USDC,online,C98-USDC,False,SPOT
SNX,GBP,online,SNX-GBP,False,SPOT
AWE,USD,online,AWE-USD,False,SPOT
AWE,USDC,online,AWE-USDC,False,SPOT
NEAR,USDT,online,NEAR-USDT,False,SPOT
RPL,USD,online,RPL-USD,False,SPOT
RPL,USDC,online,RPL-USDC,False,SPOT
JUPITER,USD,online,JUPITER-USD,False,SPOT
JUPITER,USDC,online,JUPITER-USDC,False,SPOT
DOT,USDT,online,DOT-USDT,False,SPOT
POLS,USD,online,POLS-USD,False,SPOT
POLS,USDC,online,POLS-USDC,False,SPOT
TIME,USD,online,TIME-USD,False,SPOT
TIME,USDC,online,TIME-USDC,False,SPOT
OSMO,USD,online,OSMO-USD,False,SPOT
OSMO,USDC,online,OSMO-USDC,False,SPOT
AUDD,USDC,online,AUDD-USDC,False,SPOT
GTC,USD,online,GTC-USD,False,SPOT
GTC,USDC,online,GTC-USDC,False,SPOT
POWR,USD,online,POWR-USD,False,SPOT
POWR,USDC,online,POWR-USDC,False,SPOT
DNT,USD,online,DNT-USD,False,SPOT
DNT,USDC,online,DNT-USDC,False,SPOT
CHZ,GBP,online,CHZ-GBP,False,SPOT
AUDIO,USD,online,AUDIO-USD,False,SPOT
AUDIO,USDC,online,AUDIO-USDC,False,SPOT
QI,USD,online,QI-USD,False,SPOT
QI,USDC,online,QI-USDC,False,SPOT
DBR,USD,online,DBR-USD,False,SPOT
DBR,USDC,online,DBR-USDC,False,SPOT
CRV,GBP,online,CRV-GBP,False,SPOT
MSOL,USD,online,MSOL-USD,False,SPOT
MSOL,USDC,online,MSOL-USDC,False,SPOT
BADGER,USD,online,BADGER-USD,False,SPOT
BADGER,USDC,online,BADGER-USDC,False,SPOT
FARM,USD,online,FARM-USD,False,SPOT
FARM,USDC,online,FARM-USDC,False,SPOT
GRT,GBP,online,GRT-GBP,False,SPOT
INV,USD,online,INV-USD,False,SPOT
INV,USDC,online,INV-USDC,False,SPOT
FIDA,USD,online,FIDA-USD,False,SPOT
FIDA,USDC,online,FIDA-USDC,False,SPOT
ZETACHAIN,USD,online,ZETACHAIN-USD,False,SPOT
ZETACHAIN,USDC,online,ZETACHAIN-USDC,False,SPOT
LAYER,USD,online,LAYER-USD,False,SPOT
LAYER,USDC,online,LAYER-USDC,False,SPOT
USDS,USD,online,USDS-USD,False,SPOT
USDS,USDC,online,USDS-USDC,False,SPOT
BLUR,USD,online,BLUR-USD,False,SPOT
BLUR,USDC,online,BLUR-USDC,False,SPOT
IMX,USDT,online,IMX-USDT,False,SPOT
MINA,EUR,online,MINA-EUR,False,SPOT
DOLO,USD,online,DOLO-USD,False,SPOT
DOLO,USDC,online,DOLO-USDC,False,SPOT
CRO,USDT,online,CRO-USDT,False,SPOT
CHZ,USDT,online,CHZ-USDT,False,SPOT
POND,USD,online,POND-USD,False,SPOT
POND,USDC,online,POND-USDC,False,SPOT
BNT,USD,online,BNT-USD,False,SPOT
BNT,USDC,online,BNT-USDC,False,SPOT
ENS,EUR,online,ENS-EUR,False,SPOT
RAD,USD,online,RAD-USD,False,SPOT
RAD,USDC,online,RAD-USDC,False,SPOT
FLOW,USDT,online,FLOW-USDT,False,SPOT
LSETH,USD,online,LSETH-USD,False,SPOT
LSETH,USDC,online,LSETH-USDC,False,SPOT
SAND,USDT,online,SAND-USDT,False,SPOT
XTZ,EUR,online,XTZ-EUR,False,SPOT
QNT,USDT,online,QNT-USDT,False,SPOT
XTZ,GBP,online,XTZ-GBP,False,SPOT
ENS,USDT,online,ENS-USDT,False,SPOT
MASK,GBP,online,MASK-GBP,False,SPOT
CGLD,GBP,online,CGLD-GBP,False,SPOT
AXS,USDT,online,AXS-USDT,False,SPOT
LINK,ETH,online,LINK-ETH,False,SPOT
CBETH,ETH,online,CBETH-ETH,False,SPOT
ANKR,GBP,online,ANKR-GBP,False,SPOT
ETH,BTC,online,ETH-BTC,False,SPOT
PAX,USD,online,PAX-USD,False,SPOT
PAX,USDC,online,PAX-USDC,False,SPOT
BAT,ETH,online,BAT-ETH,False,SPOT
SOL,ETH,online,SOL-ETH,False,SPOT
AAVE,BTC,online,AAVE-BTC,False,SPOT
SOL,BTC,online,SOL-BTC,False,SPOT
AVAX,BTC,online,AVAX-BTC,False,SPOT
ADA,BTC,online,ADA-BTC,False,SPOT
ATOM,BTC,online,ATOM-BTC,False,SPOT
DOT,BTC,online,DOT-BTC,False,SPOT
LINK,BTC,online,LINK-BTC,False,SPOT
CRV,BTC,online,CRV-BTC,False,SPOT
UNI,BTC,online,UNI-BTC,False,SPOT
LTC,BTC,online,LTC-BTC,False,SPOT
BCH,BTC,online,BCH-BTC,False,SPOT
ADA,ETH,online,ADA-ETH,False,SPOT
XLM,BTC,online,XLM-BTC,False,SPOT
DOGE,BTC,online,DOGE-BTC,False,SPOT
LSETH,ETH,online,LSETH-ETH,False,SPOT
BAT,BTC,online,BAT-BTC,False,SPOT
COMP,BTC,online,COMP-BTC,False,SPOT
YFI,BTC,online,YFI-BTC,False,SPOT
DASH,BTC,online,DASH-BTC,False,SPOT
ALGO,BTC,online,ALGO-BTC,False,SPOT
ICP,BTC,online,ICP-BTC,False,SPOT
XTZ,BTC,online,XTZ-BTC,False,SPOT
FIL,BTC,online,FIL-BTC,False,SPOT
GRT,BTC,online,GRT-BTC,False,SPOT
MKR,BTC,online,MKR-BTC,False,SPOT
MANA,ETH,online,MANA-ETH,False,SPOT
ETC,BTC,online,ETC-BTC,False,SPOT
LRC,BTC,online,LRC-BTC,False,SPOT
CGLD,EUR,online,CGLD-EUR,False,SPOT
EOS,BTC,online,EOS-BTC,False,SPOT
EOS,EUR,online,EOS-EUR,False,SPOT
ETH,DAI,online,ETH-DAI,False,SPOT
HYPER,USD,online,HYPER-USD,False,SPOT
HYPER,USDC,online,HYPER-USDC,False,SPOT
LRC,USDT,online,LRC-USDT,False,SPOT
PLUME,USD,online,PLUME-USD,False,SPOT
PLUME,USDC,online,PLUME-USDC,False,SPOT
RNDR,USD,delisted,RNDR-USD,True,SPOT
RNDR,USDC,delisted,RNDR-USDC,True,SPOT
ROSE,USDT,online,ROSE-USDT,False,SPOT
